"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"TCGA.33.4589.01A.01T.1442.13","tumor",5.4707647668869,3.48097956245,3.12237701390439,5.79705299482816,3.00157369143418
"TCGA.05.4397.01A.01T.1207.13","tumor",5.33387996965433,3.12926256623194,2.03410725359826,3.29457288866658,1.70506971106721
"TCGA.55.8505.01A.11H.2402.13","tumor",5.96040116767174,2.8102869230585,2.28929289549294,1.93488432227927,0.898257031444988
"TCGA.37.4135.01A.01T.1557.13","tumor",4.83506672660884,3.86689488429354,2.48595311160813,2.75584972393397,2.04628267264502
"SRR6757375","normal",6.36692012820979,3.09231818299968,1.72800598467495,2.22728987059671,1.34894074421547
"TCGA.80.5607.01A.31H.1948.13","tumor",6.52425916257668,2.56434111075066,2.15287015318231,2.81882469880493,1.56753675542539
"TCGA.44.A4SS.01A.11H.A24S.13","tumor",5.36441450919273,2.34315471321713,1.68857012462564,1.50261900576502,0.870499795813384
"TCGA.43.6771.01A.11H.1819.13","tumor",5.5677107386404,2.79669182114071,2.40796851637482,3.80920991722552,2.22685662736982
"SRR14634254","normal",4.98265062514091,3.27911775553666,1.29200927980943,1.81626837061305,1.14136748424025
"TCGA.44.A47G.01A.21H.A24G.13","tumor",6.00176267005427,2.96098668994356,1.14716709445135,1.05919813327685,1.44681413593908
"SRR14634366","tumor",5.89325898643128,3.73305878598746,2.39309528795295,2.8740984069071,1.32166061384348
"SRR6757456","tumor",3.32823865520692,2.12914011882033,1.96637679329679,2.29526399264482,1.37186835988447
"SRR6757398","tumor",4.86853094117294,3.39523217266483,2.14916015018208,2.26039783303533,1.35187778465716
"SRR6757449","normal",6.60257475340881,3.46238779994961,1.80877488564178,2.3950239311016,1.35919946788391
"TCGA.38.A44F.01A.11H.A24G.13","tumor",6.04251691784646,2.50588149986659,0.965683042723644,0.69710641447725,0.0274456450689727
"TCGA.34.5241.01A.01T.1442.13","tumor",5.79336594882697,3.04887140394231,3.05752456220221,3.57511783153067,2.38478481877047
"SRR14634303","normal",6.37837259057784,2.7724939950628,1.23434816301538,2.56239742338479,1.15675500579566
"TCGA.18.4721.01A.01T.1442.13","tumor",5.3484781626291,2.91851568982119,2.25243941695279,3.40715127500297,1.86159687134121
"TCGA.63.5128.01A.01T.1442.13","tumor",6.0089754761888,3.6524031582651,3.07103245596895,3.82378514009394,2.45483150537761
"SRR6757373","normal",6.36817730381985,3.34903136031745,1.80357016964886,2.22113787218769,1.3497886681019
"TCGA.56.8082.11A.01H.2246.13","normal",6.57909433913263,1.20614354787846,0.634181097885192,1.36719385741154,-0.230069535444443
"SRR6757385","normal",5.27613003543729,2.45321176202671,1.67875869742519,2.31776670882749,1.35087596793358
"TCGA.18.3414.01A.01T.0981.13","tumor",4.93655730773006,4.0758619611652,1.74974751332332,0.764298208012759,1.13831512765887
"TCGA.55.7281.01A.11H.2038.13","tumor",5.39654012883905,2.11696109107872,1.19435903636142,2.15363536134758,1.40426196083062
"TCGA.93.7348.01A.21H.2038.13","tumor",5.34391291321447,2.35363365537506,0.890949212482413,2.11134102480503,0.496424704837634
"SRR14634272","normal",6.20919036731014,1.71197031279439,1.05957561524575,1.09966310851149,1.14902588587133
"TCGA.44.2656.01A.02T.0947.13","tumor",5.93079788395393,3.74687840146374,2.18024391720027,2.08418169776323,1.08107795564821
"SRR14634321","tumor",5.23173326873676,2.61957748550106,2.61178878492836,2.43567072777706,1.35127886701676
"TCGA.94.A5I4.01A.11H.A26V.13","tumor",5.47696829505325,3.04749232135835,2.66156126983962,3.45378654730061,2.36686904908216
"SRR6757455","normal",6.51025183798314,3.13733370440282,1.79087099433121,2.29050663438681,1.36207715168064
"TCGA.95.7039.01A.11H.1948.13","tumor",5.63086787687792,3.20897084742438,1.89000090630321,2.16042253429186,0.749895495285781
"SRR14634347","tumor",5.7835345268329,3.19903534980288,3.59542818248362,4.03936831466651,2.09791273524373
"TCGA.33.4587.11A.01H.2124.13","normal",6.80194717979854,0.865594893747873,0.45187194807709,-0.00309969930962628,-0.390426550363154
"TCGA.78.7161.01A.11H.2038.13","tumor",6.08301455022799,2.03843204059583,0.752438179556339,0.91411935337993,0.115521862462639
"TCGA.22.4609.11A.01H.2124.13","normal",5.87361500514253,3.00013326854028,1.9394361449994,2.19988842365864,0.418420604616878
"SRR14634270","normal",6.06328731532309,2.16399310231488,1.58205448991931,1.45131605550992,1.14136748424025
"SRR6757391","normal",6.53449870818821,3.24511289104308,1.86472194752807,2.25572950884086,1.35491267024081
"SRR6757441","normal",6.6811416725117,2.72967684281801,2.79832588201637,2.45945891518796,1.35282692715144
"TCGA.90.7767.11A.01H.2124.13","normal",6.50650469935101,1.48368994491089,0.999513034325924,1.46477965051048,-0.269050132845999
"SRR14634265","normal",5.96601206624031,2.32618387209201,1.20608159035126,1.19408850174179,1.16495091174757
"TCGA.66.2755.01A.01T.1557.13","tumor",4.91368453264435,4.06579636897503,2.6730172639539,2.16992085254314,2.78416945937535
"SRR14634244","normal",5.88250750923775,2.83251989624979,1.01226845202491,1.27023832080133,1.14136748424025
