"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"TCGA.44.6778.01A.11H.1857.13","tumor",5.83923408129402,2.64814601317175,5.26301858175358,4.96588565187787,1.38287185763906,2.97771025483685,0.824538396229885,0.864025844259443,1.3566100224213,3.84142734871365,1.12746500047021,3.23749888014273,1.58634922949321
"TCGA.78.7162.01A.21H.2065.13","tumor",6.18232793522174,2.70626419092632,5.60329149599223,5.30615856611651,1.08430139881129,1.80234970926897,0.514195760957138,0.408687086978065,1.06020633732442,4.18176344145865,0.826822283403348,3.57773389864376,-0.123639053005302
"SRR14634257","normal",5.83146855356709,2.22038647963871,4.9032868054595,4.55660768495138,0.925119345974498,1.2468151337708,0.800358206003508,0.74166865242045,0.872986083438506,3.42047769121714,0.967331687276187,2.45116046964162,1.17636714076087
"TCGA.34.2600.01A.01T.1557.13","tumor",5.60761507197457,4.25403082445307,4.9837246439921,4.68659171411639,2.813599402013,2.06614706472373,1.80896301915069,1.87994722742878,2.84176601321543,3.56206283005079,2.62206026471464,2.95824727369475,2.19429928342225
"TCGA.38.7271.01A.11H.2038.13","tumor",6.16185458500925,1.07318413809565,5.5869679679734,5.28983503809768,0.396795674865499,0.453816905680657,0.476552345318094,0.371043671339021,0.276753469531059,4.16543734830761,0.0234820089536777,3.56141190931737,-0.294319109563624
"TCGA.86.7711.01A.11H.2065.13","tumor",5.33509330682465,2.59911361208956,4.74058107942496,4.44344814954925,1.16770751238033,1.72540389703492,1.1135788295589,1.14621499526277,1.10061662207824,3.31883953477885,0.867888234091207,2.71515152234104,1.36782907791586
"SRR6757443","normal",7.43563880758695,3.21859495097721,6.43574266111763,5.69899036846512,2.12993534384989,2.26529827953034,1.39915377780021,1.55942630161551,2.08492647622316,3.81704911854242,1.86389203193227,3.10143962709221,1.3515847525504
"TCGA.33.4589.01A.01T.1442.13","tumor",5.4707647668869,3.48097956245,4.85665723671767,4.55952430684196,3.12237701390439,5.79705299482816,2.72415883069928,2.72085843566881,3.14307866021549,3.43495617586765,2.91606285858234,2.83120340291846,3.00157369143418
"TCGA.05.4397.01A.01T.1207.13","tumor",5.33387996965433,3.12926256623194,4.68245267144334,4.38506777756752,2.03410725359826,3.29457288866658,1.32946500920793,1.29997799124758,2.03924533476238,3.26043695429246,1.79612952593226,2.65678446735433,1.70506971106721
"TCGA.55.8505.01A.11H.2402.13","tumor",5.96040116767174,2.8102869230585,5.36328506273168,5.06615213285597,2.28929289549294,1.93488432227927,1.16202727006217,1.29927904047061,2.32067326672006,3.9417147280599,2.0990847502692,3.33775282628363,0.898257031444988
